id,x,y,europe
1,0,0,True
2,0,1,True
3,0,2,True
4,0,3,True
5,0,4,True
6,0,5,True
7,0,6,True
8,0,7,True
9,0,8,True
10,0,9,True
11,0,10,True
12,0,11,True
13,0,12,True
14,0,13,True
15,0,14,True
16,0,15,True
17,0,16,True
18,0,17,True
19,0,18,True
20,0,19,True
21,0,20,True
22,0,21,True
23,0,22,True
24,0,23,True
25,0,24,True
26,0,25,True
27,0,26,True
28,0,27,True
29,0,28,True
30,0,29,True
31,0,30,True
32,0,31,True
33,0,32,True
34,0,33,True
35,0,34,True
36,0,35,True
37,0,36,True
38,0,37,True
39,0,38,True
40,0,39,True
41,0,40,True
42,0,41,True
43,0,42,True
44,0,43,True
45,0,44,True
46,0,45,True
47,0,46,True
48,0,47,True
49,0,48,True
50,0,49,True
51,0,50,True
52,0,51,True
53,0,52,True
54,0,53,True
55,0,54,True
56,0,55,True
57,0,56,True
58,0,57,True
59,0,58,True
60,0,59,True
61,0,60,True
62,0,61,True
63,0,62,True
64,0,63,True
65,0,64,True
66,0,65,True
67,0,66,True
68,0,67,True
69,0,68,True
70,0,69,True
71,0,70,True
72,0,71,True
73,0,72,True
74,0,73,True
75,0,74,True
76,0,75,True
77,0,76,True
78,0,77,True
79,0,78,True
80,0,79,True
81,0,80,True
82,0,81,True
83,0,82,True
84,0,83,True
85,0,84,True
86,0,85,True
87,0,86,True
88,0,87,True
89,0,88,True
90,0,89,True
91,0,90,True
92,0,91,True
93,0,92,True
94,0,93,True
95,0,94,True
96,0,95,True
97,0,96,True
98,1,0,True
99,1,1,True
100,1,2,True
101,1,3,True
102,1,4,True
103,1,5,True
104,1,6,True
105,1,7,True
106,1,8,True
107,1,9,True
108,1,10,True
109,1,11,True
110,1,12,True
111,1,13,True
112,1,14,True
113,1,15,True
114,1,16,True
115,1,17,True
116,1,18,True
117,1,19,True
118,1,20,True
119,1,21,True
120,1,22,True
121,1,23,True
122,1,24,True
123,1,25,True
124,1,26,True
125,1,27,True
126,1,28,True
127,1,29,True
128,1,30,True
129,1,31,True
130,1,32,True
131,1,33,True
132,1,34,True
133,1,35,True
134,1,36,True
135,1,37,True
136,1,38,True
137,1,39,True
138,1,40,True
139,1,41,True
140,1,42,True
141,1,43,True
142,1,44,True
143,1,45,True
144,1,46,True
145,1,47,True
146,1,48,True
147,1,49,True
148,1,50,True
149,1,51,True
150,1,52,True
151,1,53,True
152,1,54,True
153,1,55,True
154,1,56,True
155,1,57,True
156,1,58,True
157,1,59,True
158,1,60,True
159,1,61,True
160,1,62,True
161,1,63,True
162,1,64,True
163,1,65,True
164,1,66,True
165,1,67,True
166,1,68,True
167,1,69,True
168,1,70,True
169,1,71,True
170,1,72,True
171,1,73,True
172,1,74,True
173,1,75,True
174,1,76,True
175,1,77,True
176,1,78,True
177,1,79,True
178,1,80,True
179,1,81,True
180,1,82,True
181,1,83,True
182,1,84,True
183,1,85,True
184,1,86,True
185,1,87,True
186,1,88,True
187,1,89,True
188,1,90,True
189,1,91,True
190,1,92,True
191,1,93,True
192,1,94,True
193,1,95,True
194,1,96,True
195,2,0,True
196,2,1,True
197,2,2,True
198,2,3,True
199,2,4,True
200,2,5,True
201,2,6,True
202,2,7,True
203,2,8,True
204,2,9,True
205,2,10,True
206,2,11,True
207,2,12,True
208,2,13,True
209,2,14,True
210,2,15,True
211,2,16,True
212,2,17,True
213,2,18,True
214,2,19,True
215,2,20,True
216,2,21,True
217,2,22,True
218,2,23,True
219,2,24,True
220,2,25,True
221,2,26,True
222,2,27,True
223,2,28,True
224,2,29,True
225,2,30,True
226,2,31,True
227,2,32,True
228,2,33,True
229,2,34,True
230,2,35,True
231,2,36,True
232,2,37,True
233,2,38,True
234,2,39,True
235,2,40,True
236,2,41,True
237,2,42,True
238,2,43,True
239,2,44,True
240,2,45,True
241,2,46,True
242,2,47,True
243,2,48,True
244,2,49,True
245,2,50,True
246,2,51,True
247,2,52,True
248,2,53,True
249,2,54,True
250,2,55,True
251,2,56,True
252,2,57,True
253,2,58,True
254,2,59,True
255,2,60,True
256,2,61,True
257,2,62,True
258,2,63,True
259,2,64,True
260,2,65,True
261,2,66,True
262,2,67,True
263,2,68,True
264,2,69,True
265,2,70,True
266,2,71,True
267,2,72,True
268,2,73,True
269,2,74,True
270,2,75,True
271,2,76,True
272,2,77,True
273,2,78,True
274,2,79,True
275,2,80,True
276,2,81,True
277,2,82,True
278,2,83,True
279,2,84,True
280,2,85,True
281,2,86,True
282,2,87,True
283,2,88,True
284,2,89,True
285,2,90,True
286,2,91,True
287,2,92,True
288,2,93,True
289,2,94,True
290,2,95,True
291,2,96,True
292,3,0,True
293,3,1,True
294,3,2,True
295,3,3,True
296,3,4,True
297,3,5,True
298,3,6,True
299,3,7,True
300,3,8,True
301,3,9,True
302,3,10,True
303,3,11,True
304,3,12,True
305,3,13,True
306,3,14,True
307,3,15,True
308,3,16,True
309,3,17,True
310,3,18,True
311,3,19,True
312,3,20,True
313,3,21,True
314,3,22,True
315,3,23,True
316,3,24,True
317,3,25,True
318,3,26,True
319,3,27,True
320,3,28,True
321,3,29,True
322,3,30,True
323,3,31,True
324,3,32,True
325,3,33,True
326,3,34,True
327,3,35,True
328,3,36,True
329,3,37,True
330,3,38,True
331,3,39,True
332,3,40,True
333,3,41,True
334,3,42,True
335,3,43,True
336,3,44,True
337,3,45,True
338,3,46,True
339,3,47,True
340,3,48,True
341,3,49,True
342,3,50,True
343,3,51,True
344,3,52,True
345,3,53,True
346,3,54,True
347,3,55,True
348,3,56,True
349,3,57,True
350,3,58,True
351,3,59,True
352,3,60,True
353,3,61,True
354,3,62,True
355,3,63,True
356,3,64,True
357,3,65,True
358,3,66,True
359,3,67,True
360,3,68,True
361,3,69,True
362,3,70,True
363,3,71,True
364,3,72,True
365,3,73,True
366,3,74,True
367,3,75,True
368,3,76,True
369,3,77,True
370,3,78,True
371,3,79,True
372,3,80,True
373,3,81,True
374,3,82,True
375,3,83,True
376,3,84,True
377,3,85,True
378,3,86,True
379,3,87,True
380,3,88,True
381,3,89,True
382,3,90,True
383,3,91,True
384,3,92,True
385,3,93,True
386,3,94,True
387,3,95,True
388,3,96,True
389,4,0,True
390,4,1,True
391,4,2,True
392,4,3,True
393,4,4,True
394,4,5,True
395,4,6,True
396,4,7,True
397,4,8,True
398,4,9,True
399,4,10,True
400,4,11,True
401,4,12,True
402,4,13,True
403,4,14,True
404,4,15,True
405,4,16,True
406,4,17,True
407,4,18,True
408,4,19,True
409,4,20,True
410,4,21,True
411,4,22,True
412,4,23,True
413,4,24,True
414,4,25,True
415,4,26,True
416,4,27,True
417,4,28,True
418,4,29,True
419,4,30,True
420,4,31,True
421,4,32,True
422,4,33,True
423,4,34,True
424,4,35,True
425,4,36,True
426,4,37,True
427,4,38,True
428,4,39,True
429,4,40,True
430,4,41,True
431,4,42,True
432,4,43,True
433,4,44,True
434,4,45,True
435,4,46,True
436,4,47,True
437,4,48,True
438,4,49,True
439,4,50,True
440,4,51,True
441,4,52,True
442,4,53,True
443,4,54,True
444,4,55,True
445,4,56,True
446,4,57,True
447,4,58,True
448,4,59,True
449,4,60,True
450,4,61,True
451,4,62,True
452,4,63,True
453,4,64,True
454,4,65,True
455,4,66,True
456,4,67,True
457,4,68,True
458,4,69,True
459,4,70,True
460,4,71,True
461,4,72,True
462,4,73,True
463,4,74,True
464,4,75,True
465,4,76,True
466,4,77,True
467,4,78,True
468,4,79,True
469,4,80,True
470,4,81,True
471,4,82,True
472,4,83,True
473,4,84,True
474,4,85,True
475,4,86,True
476,4,87,True
477,4,88,True
478,4,89,True
479,4,90,True
480,4,91,True
481,4,92,True
482,4,93,True
483,4,94,True
484,4,95,True
485,4,96,True
486,5,0,True
487,5,1,True
488,5,2,True
489,5,3,True
490,5,4,True
491,5,5,True
492,5,6,True
493,5,7,True
494,5,8,True
495,5,9,True
496,5,10,True
497,5,11,True
498,5,12,True
499,5,13,True
500,5,14,True
501,5,15,True
502,5,16,True
503,5,17,True
504,5,18,True
505,5,19,True
506,5,20,True
507,5,21,True
508,5,22,True
509,5,23,True
510,5,24,True
511,5,25,True
512,5,26,True
513,5,27,True
514,5,28,True
515,5,29,True
516,5,30,True
517,5,31,True
518,5,32,True
519,5,33,True
520,5,34,True
521,5,35,True
522,5,36,True
523,5,37,True
524,5,38,True
525,5,39,True
526,5,40,True
527,5,41,True
528,5,42,True
529,5,43,True
530,5,44,True
531,5,45,True
532,5,46,True
533,5,47,True
