id,is_long,hours_ahead
1,True,0
2,True,1
3,True,2
4,True,3
5,True,4
6,True,5
7,True,6
8,True,7
9,True,8
10,True,9
11,True,10
12,True,11
13,True,12
14,True,13
15,True,14
16,True,15
17,True,16
18,True,17
19,True,18
20,True,19
21,True,20
22,True,21
23,True,22
24,True,23
25,True,24
26,True,25
27,True,26
28,True,27
29,True,28
30,True,29
31,True,30
32,True,31
33,True,32
34,True,33
35,True,34
36,True,35
37,True,36
38,True,37
39,True,38
40,True,39
41,True,40
42,True,41
43,True,42
44,True,43
45,True,44
46,True,45
47,True,46
48,True,47
49,True,48
50,True,49
51,True,50
52,True,51
53,True,52
54,True,53
55,True,54
56,True,55
57,True,56
58,True,57
59,True,58
60,True,59
61,True,60
62,True,61
63,True,62
64,True,63
65,True,64
66,True,65
67,True,66
68,True,67
69,True,68
70,True,69
71,True,70
72,True,71
73,True,72
74,True,73
75,True,74
76,True,75
77,True,76
78,True,77
79,True,78
80,True,79
81,True,80
82,True,81
83,True,82
84,True,83
85,True,84
86,True,85
87,True,86
88,True,87
89,True,88
90,True,89
91,True,90
92,True,91
93,True,92
94,True,93
95,True,94
96,True,95
97,True,96
98,True,97
99,True,98
100,True,99
101,True,100
102,True,101
103,True,102
104,True,103
105,True,104
106,True,105
107,True,106
108,True,107
109,True,108
110,True,109
111,True,110
112,True,111
113,True,112
114,True,113
115,True,114
116,True,115
117,True,116
118,True,117
119,True,118
120,True,119
121,True,120
122,True,121
123,True,122
124,True,123
125,True,124
126,True,125
127,True,126
128,True,127
129,True,128
130,True,129
131,True,130
132,True,131
133,True,132
134,True,133
135,True,134
136,True,135
137,True,136
138,True,137
139,True,138
140,True,139
141,True,140
142,True,141
143,True,142
144,True,143
145,True,144
146,True,145
147,True,146
148,True,147
149,True,148
150,True,149
151,True,150
152,True,151
153,True,152
154,True,153
155,True,154
156,True,155
157,True,156
158,True,157
159,True,158
160,True,159
161,True,160
162,True,161
163,True,162
164,True,163
165,True,164
166,True,165
167,True,166
168,True,167
169,False,0
170,False,1
171,False,2
172,False,3
173,False,4
174,False,5
175,False,6
176,False,7
177,False,8
178,False,9
179,False,10
180,False,11
181,False,12
182,False,13
183,False,14
184,False,15
185,False,16
186,False,17
187,False,18
188,False,19
189,False,20
190,False,21
191,False,22
192,False,23
193,False,24
194,False,25
195,False,26
196,False,27
197,False,28
198,False,29
199,False,30
200,False,31
201,False,32
202,False,33
203,False,34
204,False,35
205,False,36
206,False,37
207,False,38
208,False,39
209,False,40
210,False,41
211,False,42
212,False,43
213,False,44
214,False,45
215,False,46
216,False,47
